15,Fitness function Langermann,1,30,1
1,Fitness function Langermann,1,41,1
12,Fitness function Langermann,1,37,1
10,Fitness function Langermann,1,29,1
13,Fitness function Langermann,1,26,1
4,Fitness function Langermann,1,15,1
5,Fitness function Langermann,1,11,1
3,Fitness function Langermann,1,18,1
14,Fitness function Langermann,1,100,0.5822612056342736
6,Fitness function Langermann,1,9,1
2,Fitness function Langermann,1,38,1
7,Fitness function Langermann,1,27,1
9,Fitness function Langermann,1,28,1
8,Fitness function Langermann,1,20,1
16,Fitness function Langermann,1,43,1
11,Fitness function Langermann,1,18,1
17,Fitness function Langermann,1,16,1
19,Fitness function Langermann,1,25,1
22,Fitness function Langermann,1,19,1
20,Fitness function Langermann,1,36,1
18,Fitness function Langermann,1,17,1
21,Fitness function Langermann,1,32,1
23,Fitness function Langermann,1,36,1
30,Fitness function Langermann,1,20,1
24,Fitness function Langermann,1,33,1
29,Fitness function Langermann,1,25,1
26,Fitness function Langermann,1,19,1
28,Fitness function Langermann,1,24,1
32,Fitness function Langermann,2,17,1
25,Fitness function Langermann,1,11,1
27,Fitness function Langermann,1,40,1
31,Fitness function Langermann,2,26,1
33,Fitness function Langermann,2,18,1
36,Fitness function Langermann,2,10,1
34,Fitness function Langermann,2,18,1
35,Fitness function Langermann,2,8,1
37,Fitness function Langermann,2,26,1
38,Fitness function Langermann,2,13,1
39,Fitness function Langermann,2,100,0.5822612056342736
43,Fitness function Langermann,2,11,1
41,Fitness function Langermann,2,8,1
44,Fitness function Langermann,2,25,1
42,Fitness function Langermann,2,7,1
45,Fitness function Langermann,2,17,1
47,Fitness function Langermann,2,20,1
46,Fitness function Langermann,2,11,1
40,Fitness function Langermann,2,25,1
48,Fitness function Langermann,2,10,1
49,Fitness function Langermann,2,14,1
50,Fitness function Langermann,2,22,1
51,Fitness function Langermann,2,17,1
52,Fitness function Langermann,2,100,0.5822612056342736
54,Fitness function Langermann,2,17,1
53,Fitness function Langermann,2,7,1
55,Fitness function Langermann,2,21,1
56,Fitness function Langermann,2,15,1
58,Fitness function Langermann,2,20,1
59,Fitness function Langermann,2,18,1
61,Fitness function Langermann,3,15,1
57,Fitness function Langermann,2,21,1
63,Fitness function Langermann,3,15,1
60,Fitness function Langermann,2,100,0.5822612056342736
62,Fitness function Langermann,3,14,1
64,Fitness function Langermann,3,4,1
65,Fitness function Langermann,3,10,1
66,Fitness function Langermann,3,21,1
67,Fitness function Langermann,3,15,1
68,Fitness function Langermann,3,17,1
69,Fitness function Langermann,3,4,1
70,Fitness function Langermann,3,18,1
71,Fitness function Langermann,3,21,1
73,Fitness function Langermann,3,21,1
74,Fitness function Langermann,3,25,1
76,Fitness function Langermann,3,13,1
75,Fitness function Langermann,3,7,1
77,Fitness function Langermann,3,14,1
72,Fitness function Langermann,3,11,1
78,Fitness function Langermann,3,15,1
80,Fitness function Langermann,3,13,1
79,Fitness function Langermann,3,9,1
81,Fitness function Langermann,3,12,1
82,Fitness function Langermann,3,16,1
83,Fitness function Langermann,3,15,1
84,Fitness function Langermann,3,16,1
85,Fitness function Langermann,3,18,1
87,Fitness function Langermann,3,14,1
86,Fitness function Langermann,3,15,1
88,Fitness function Langermann,3,7,1
89,Fitness function Langermann,3,20,1
90,Fitness function Langermann,3,13,1
91,Fitness function Langermann,4,21,1
94,Fitness function Langermann,4,9,1
