125,Fitness function Shubert,0.1,11,1
123,Fitness function Shubert,0.1,17,1
124,Fitness function Shubert,0.1,17,1
126,Fitness function Shubert,0.1,18,1
128,Fitness function Shubert,0.1,100,0.8006152353649257
129,Fitness function Shubert,0.1,22,1
127,Fitness function Shubert,0.1,14,1
132,Fitness function Shubert,0.1,100,0.7997096161673007
131,Fitness function Shubert,0.1,70,1
133,Fitness function Shubert,0.1,19,1
130,Fitness function Shubert,0.1,100,0.7997096161673007
134,Fitness function Shubert,0.1,5,1
135,Fitness function Shubert,0.1,14,1
136,Fitness function Shubert,0.1,11,1
137,Fitness function Shubert,0.1,16,1
138,Fitness function Shubert,0.1,20,1
139,Fitness function Shubert,0.1,100,0.7996751927673003
141,Fitness function Shubert,0.1,28,1
143,Fitness function Shubert,0.1,12,1
144,Fitness function Shubert,0.1,16,1
140,Fitness function Shubert,0.1,17,1
142,Fitness function Shubert,0.1,31,1
145,Fitness function Shubert,0.1,30,1
146,Fitness function Shubert,0.1,19,1
151,Fitness function Eggholder,0.1,13,1
147,Fitness function Shubert,0.1,12,1
148,Fitness function Shubert,0.1,100,0.7997096161673007
152,Fitness function Eggholder,0.1,25,1
149,Fitness function Shubert,0.1,100,0.9993812117013755
150,Fitness function Shubert,0.1,11,1
153,Fitness function Eggholder,0.1,34,1
154,Fitness function Eggholder,0.1,100,0.9984001187799274
155,Fitness function Eggholder,0.1,15,1
158,Fitness function Eggholder,0.1,100,0.9035122111535943
156,Fitness function Eggholder,0.1,100,0.9591198392469648
157,Fitness function Eggholder,0.1,100,0.9994592038185808
160,Fitness function Eggholder,0.1,15,1
159,Fitness function Eggholder,0.1,100,0.9999820476192709
161,Fitness function Eggholder,0.1,100,0.940598775133624
162,Fitness function Eggholder,0.1,100,0.9969676229613637
163,Fitness function Eggholder,0.1,20,1
167,Fitness function Eggholder,0.1,12,1
165,Fitness function Eggholder,0.1,75,1
166,Fitness function Eggholder,0.1,93,1
164,Fitness function Eggholder,0.1,100,0.9984001187799274
168,Fitness function Eggholder,0.1,100,0.9999820476192709
170,Fitness function Eggholder,0.1,100,0.9999820476192709
169,Fitness function Eggholder,0.1,100,0.9984001187799274
171,Fitness function Eggholder,0.1,9,1
172,Fitness function Eggholder,0.1,14,1
173,Fitness function Eggholder,0.1,100,0.9984001187799274
174,Fitness function Eggholder,0.1,100,0.9984001187799274
175,Fitness function Eggholder,0.1,100,0.9999820476192709
177,Fitness function Eggholder,0.1,100,0.998449027870186
181,Fitness function Schaffer,0.15,11,1
176,Fitness function Eggholder,0.1,100,0.998449027870186
179,Fitness function Eggholder,0.1,20,1
178,Fitness function Eggholder,0.1,100,0.9999820476192709
180,Fitness function Eggholder,0.1,11,1
183,Fitness function Schaffer,0.15,50,1
182,Fitness function Schaffer,0.15,18,1
184,Fitness function Schaffer,0.15,13,1
185,Fitness function Schaffer,0.15,6,1
186,Fitness function Schaffer,0.15,100,0.9992952506441721
187,Fitness function Schaffer,0.15,15,1
188,Fitness function Schaffer,0.15,19,1
189,Fitness function Schaffer,0.15,100,0.9992952506441721
190,Fitness function Schaffer,0.15,16,1
193,Fitness function Schaffer,0.15,11,1
192,Fitness function Schaffer,0.15,17,1
191,Fitness function Schaffer,0.15,100,0.9992952506441721
195,Fitness function Schaffer,0.15,19,1
196,Fitness function Schaffer,0.15,100,0.9992952506441721
194,Fitness function Schaffer,0.15,10,1
197,Fitness function Schaffer,0.15,12,1
198,Fitness function Schaffer,0.15,10,1
199,Fitness function Schaffer,0.15,24,1
200,Fitness function Schaffer,0.15,58,1
201,Fitness function Schaffer,0.15,16,1
202,Fitness function Schaffer,0.15,80,1
203,Fitness function Schaffer,0.15,35,1
204,Fitness function Schaffer,0.15,4,1
206,Fitness function Schaffer,0.15,10,1
207,Fitness function Schaffer,0.15,8,1
205,Fitness function Schaffer,0.15,13,1
210,Fitness function Schaffer,0.15,100,0.9992952506441721
208,Fitness function Schaffer,0.15,100,0.9992952506441721
209,Fitness function Schaffer,0.15,5,1
214,Fitness function Shubert,0.15,16,1
211,Fitness function Shubert,0.15,19,1
212,Fitness function Shubert,0.15,100,0.7984768841914411
213,Fitness function Shubert,0.15,56,1
216,Fitness function Shubert,0.15,17,1
215,Fitness function Shubert,0.15,12,1
217,Fitness function Shubert,0.15,12,1
218,Fitness function Shubert,0.15,100,0.7997096161673007
219,Fitness function Shubert,0.15,100,0.7997096161673007
220,Fitness function Shubert,0.15,100,0.7997096161673007
221,Fitness function Shubert,0.15,14,1
222,Fitness function Shubert,0.15,100,0.9993812117013755
224,Fitness function Shubert,0.15,12,1
223,Fitness function Shubert,0.15,16,1
226,Fitness function Shubert,0.15,98,1
225,Fitness function Shubert,0.15,13,1
227,Fitness function Shubert,0.15,100,0.7996751927673003
229,Fitness function Shubert,0.15,12,1
228,Fitness function Shubert,0.15,16,1
230,Fitness function Shubert,0.15,27,1
232,Fitness function Shubert,0.15,16,1
231,Fitness function Shubert,0.15,15,1
233,Fitness function Shubert,0.15,39,1
234,Fitness function Shubert,0.15,100,0.7996751927673003
235,Fitness function Shubert,0.15,100,0.9993812117013755
236,Fitness function Shubert,0.15,16,1
241,Fitness function Eggholder,0.15,15,1
237,Fitness function Shubert,0.15,100,0.7997096161673007
242,Fitness function Eggholder,0.15,13,1
238,Fitness function Shubert,0.15,17,1
239,Fitness function Shubert,0.15,17,1
240,Fitness function Shubert,0.15,100,0.7997096161673007
243,Fitness function Eggholder,0.15,100,0.9999820476192709
246,Fitness function Eggholder,0.15,26,1
245,Fitness function Eggholder,0.15,15,1
244,Fitness function Eggholder,0.15,100,0.9994592038185808
247,Fitness function Eggholder,0.15,100,0.9999820476192709
248,Fitness function Eggholder,0.15,100,0.9994937277712864
249,Fitness function Eggholder,0.15,16,1
250,Fitness function Eggholder,0.15,100,0.998449027870186
252,Fitness function Eggholder,0.15,28,1
251,Fitness function Eggholder,0.15,11,1
254,Fitness function Eggholder,0.15,10,1
253,Fitness function Eggholder,0.15,12,1
255,Fitness function Eggholder,0.15,32,1
256,Fitness function Eggholder,0.15,100,0.9999820476192709
258,Fitness function Eggholder,0.15,13,1
257,Fitness function Eggholder,0.15,21,1
259,Fitness function Eggholder,0.15,14,1
260,Fitness function Eggholder,0.15,6,1
263,Fitness function Eggholder,0.15,19,1
262,Fitness function Eggholder,0.15,100,0.9984417166789745
261,Fitness function Eggholder,0.15,100,0.9999820476192709
264,Fitness function Eggholder,0.15,7,1
265,Fitness function Eggholder,0.15,23,1
266,Fitness function Eggholder,0.15,100,0.9994592038185808
267,Fitness function Eggholder,0.15,100,0.9999820476192709
268,Fitness function Eggholder,0.15,32,1
269,Fitness function Eggholder,0.15,100,0.9999820476192709
270,Fitness function Eggholder,0.15,100,0.9943245638997715
273,Fitness function Schaffer,0.2,17,1
272,Fitness function Schaffer,0.2,11,1
271,Fitness function Schaffer,0.2,100,0.9992952506441721
274,Fitness function Schaffer,0.2,100,0.9992952506441721
275,Fitness function Schaffer,0.2,8,1
276,Fitness function Schaffer,0.2,100,0.9992952506441721
280,Fitness function Schaffer,0.2,27,1
279,Fitness function Schaffer,0.2,4,1
277,Fitness function Schaffer,0.2,11,1
281,Fitness function Schaffer,0.2,12,1
278,Fitness function Schaffer,0.2,42,1
