Fitness function Schaffer,8,0.05,0,5.705523743738525,29.42258251819412
Fitness function Schaffer,8,0.05,1,8.644199399486013,-25.599321954180873
Fitness function Schaffer,8,0.05,2,23.483148545615546,-12.809435709946628
Fitness function Schaffer,8,0.05,3,26.175711409836413,-5.411609354740031
Fitness function Schaffer,8,0.05,4,-12.206156409707816,9.847331249633388
Fitness function Schaffer,8,0.05,5,4.075552703244814,-21.004796427387653
Fitness function Schaffer,8,0.05,6,-24.52560845102013,29.451342335055056
Fitness function Schaffer,8,0.05,7,2.0468286119117507,15.514763744444899
Fitness function Schaffer,8,0.05,8,-22.952577288578528,16.872374534681654
Fitness function Schaffer,8,0.05,9,11.283470756870322,-27.099812221232348
Fitness function Schaffer,8,0.05,10,-25.046904272519857,-16.421852758575778
Fitness function Schaffer,8,0.05,11,16.409574151134954,7.253260147152099
Fitness function Schaffer,8,0.05,12,-15.307631943220686,-15.201665130170966
Fitness function Schaffer,8,0.05,13,-7.231791733089805,1.8459967912911188
Fitness function Schaffer,8,0.05,14,13.590938657829982,-14.510119006499352
Fitness function Schaffer,8,0.05,15,33.12075634159216,-30.752589261276555
Fitness function Schaffer,8,0.05,16,32.198845970257196,0.45241628817833907
Fitness function Schaffer,8,0.05,17,11.426022511114732,14.623883511550034
Fitness function Schaffer,8,0.05,18,3.901920040018933,26.85519075961562
Fitness function Schaffer,8,0.05,19,30.765309520556816,22.008909396460425
Fitness function Schaffer,8,0.05,20,6.794373821362388,-24.38371997358279
Fitness function Schaffer,8,0.05,21,-18.718061606745945,-22.889102397339684
Fitness function Schaffer,8,0.05,22,10.31086413619332,-12.816043900549912
Fitness function Schaffer,8,0.05,23,10.0509662772124,-32.0714907348748
Fitness function Schaffer,8,0.05,24,19.41587097091802,-16.380455643625833
Fitness function Schaffer,8,0.05,25,-43.207988252542194,32.08882683396982
Fitness function Schaffer,8,0.05,26,12.596432273735768,24.509755468773545
Fitness function Schaffer,8,0.05,27,8.91298153299393,-0.12337973693358854
Fitness function Schaffer,8,0.05,28,-17.95044158809574,-9.376350095717893
Fitness function Schaffer,8,0.05,29,-26.58488032661429,-4.953448869217563
Fitness function Schaffer,8,0.05,30,7.128350261639734,-23.58135262415607
Fitness function Schaffer,8,0.05,31,53.824043612763546,4.445978447801146
Fitness function Schaffer,8,0.05,32,-22.327017772210347,21.709560740321884
Fitness function Schaffer,8,0.05,33,28.634265072074573,9.345745779015528
Fitness function Schaffer,8,0.05,34,-6.133381039199903,36.70780166449197
Fitness function Schaffer,8,0.05,35,-30.02653391488313,8.75196823017766
Fitness function Schaffer,8,0.05,36,23.09623925549237,9.001948793237043
Fitness function Schaffer,8,0.05,37,14.574976421796798,11.057814347323392
Fitness function Schaffer,8,0.05,38,-4.319910793794736,15.171949079585424
Fitness function Schaffer,8,0.05,39,6.72941033421706,17.173782447935157
Fitness function Schaffer,8,0.05,40,23.86400772753696,10.971579803185328
Fitness function Schaffer,8,0.05,41,-7.095282798991767,-15.748362147498185
Fitness function Schaffer,8,0.05,42,-36.695614139631665,4.8986154792294
Fitness function Schaffer,8,0.05,43,9.99208970390435,-22.814950789405255
Fitness function Schaffer,8,0.05,44,18.057107637413615,-9.386971011482308
Fitness function Schaffer,8,0.05,45,5.928325371378079,-21.32957992863894
Fitness function Schaffer,8,0.05,46,30.194971237765127,8.243605610717754
Fitness function Schaffer,8,0.05,47,-12.905726605365125,4.217035042264962
Fitness function Schaffer,8,0.05,48,-5.633626475033646,24.85695265808661
Fitness function Schaffer,8,0.05,49,14.098565776850046,35.98796812520733
Fitness function Schaffer,8,0.05,50,-4.969348933606484,-26.51765208981259
Fitness function Schaffer,8,0.05,51,-22.967169682832335,-17.76986509925549
Fitness function Schaffer,8,0.05,52,-14.442215877478445,-1.0795695392137097
Fitness function Schaffer,8,0.05,53,-24.50339016883173,5.604287066225173
Fitness function Schaffer,8,0.05,54,11.582043825251562,22.308618710316672
Fitness function Schaffer,8,0.05,55,-4.590070191427911,19.965574834089374
Fitness function Schaffer,8,0.05,56,17.192043925647415,5.430498719017949
Fitness function Schaffer,8,0.05,57,13.587805804024669,9.98541817345008
Fitness function Schaffer,8,0.05,58,17.462828306595227,-33.54284042302007
Fitness function Schaffer,8,0.05,59,6.478505921739434,-19.079699470094038
Fitness function Schaffer,8,0.05,60,-19.71490664995503,-25.1241431948342
Fitness function Schaffer,8,0.05,61,-18.021498029072664,-13.792989806907785
Fitness function Schaffer,8,0.05,62,-20.02589637954656,8.132947065757993
Fitness function Schaffer,8,0.05,63,11.765197359129651,25.55012867952086
Fitness function Schaffer,8,0.05,64,-20.9882098247454,5.848770021829548
Fitness function Schaffer,8,0.05,65,16.735198917523512,5.405896873568945
Fitness function Schaffer,8,0.05,66,5.2308727098832835,25.056301878163875
Fitness function Schaffer,8,0.05,67,23.698907358789516,-25.464569154128107
Fitness function Schaffer,8,0.05,68,6.679920013837415,-25.124635622600344
Fitness function Schaffer,8,0.05,69,17.383632083226015,-25.824659666171712
Fitness function Schaffer,8,0.05,70,-24.009759413225975,9.62970461887267
Fitness function Schaffer,8,0.05,71,39.23406594585342,-44.62269798069044
Fitness function Schaffer,8,0.05,72,10.515680525648673,-6.54702617125465
Fitness function Schaffer,8,0.05,73,-9.525403540446426,-41.70407815381985
Fitness function Schaffer,8,0.05,74,17.23419099858507,-14.474262836637218
Fitness function Schaffer,8,0.05,75,5.988053976717844,16.08007797768583
Fitness function Schaffer,8,0.05,76,29.4524247115707,31.62146311596076
