Fitness function Shubert,2,0,-1.3594114204596093,-0.8002032129690922,1,1
Fitness function Shubert,2,0,-1.3594114053648163,-0.8002033162313689,1,1
Fitness function Shubert,2,0,-1.359411315151113,-0.8002033097737942,1,1
Fitness function Shubert,2,0,-1.359411416399271,-0.8002033155946626,1,1
Fitness function Shubert,2,0,-1.3594114193834137,-0.8002033391580533,1,1
Fitness function Shubert,2,0,-1.359411419164281,-0.8002033396767104,1,1
Fitness function Shubert,2,0,-1.359411414120995,-0.8002033364788599,1,1
Fitness function Shubert,2,0,-1.3594114183519854,-0.8002032441478849,1,1
Fitness function Shubert,2,0,-1.359411432823999,-0.8002033052006097,1,1
Fitness function Shubert,2,0,-1.3594114524495786,-0.8002033239840681,1,1
Fitness function Shubert,2,0,-1.3594114200650234,-0.8002033105360337,1,1
Fitness function Shubert,2,0,-1.3594114110707638,-0.8002033149476002,1,1
Fitness function Shubert,2,0,-1.359411481008779,-0.8002033289024886,1,1
Fitness function Shubert,2,0,-1.3594114192430165,-0.8002033082721828,1,1
Fitness function Shubert,2,0,-1.3594114175647738,-0.8002033158559844,1,1
Fitness function Shubert,2,0,-1.3594117503498604,-0.8002036840701864,1,1
Fitness function Shubert,2,0,-1.3594114151723506,-0.8002034505793081,1,1
Fitness function Shubert,2,0,-1.3594113492070323,-0.80020330371164,1,1
Fitness function Shubert,2,0,-1.3594078355261339,-0.8002033181341457,1,1
Fitness function Shubert,2,0,-1.3594114178762773,-0.8002033142943045,1,1
Fitness function Shubert,2,0,-1.3594116157974179,-0.8002033153341918,1,1
Fitness function Shubert,2,0,-1.3594114179558627,-0.8002033476106486,1,1
Fitness function Shubert,2,0,-1.3594114244180364,-0.8002033265359125,1,1
Fitness function Shubert,2,0,-1.3594114410424527,-0.8002033151399506,1,1
Fitness function Shubert,2,0,-1.3594113917833748,-0.800203547589824,1,1
Fitness function Shubert,2,0,-1.359411385341479,-0.8002033227882416,1,1
Fitness function Shubert,2,0,-1.359411418247238,-0.8002033194132091,1,1
Fitness function Shubert,2,0,-1.3594114305229337,-0.8002031767512272,1,1
Fitness function Shubert,2,0,-1.359411433754576,-0.8002032957244339,1,1
Fitness function Shubert,2,0,-1.3594114135253763,-0.8002033507214984,1,1
Fitness function Shubert,2,0,-1.3594114439369431,-0.8002033144716693,1,1
Fitness function Shubert,2,0,-1.3594113573592579,-0.80020349714369,1,1
Fitness function Shubert,2,0,-1.3594112975979897,-0.8002033153762788,1,1
Fitness function Shubert,2,0,-1.3594113358515039,-0.8002033322246586,1,1
Fitness function Shubert,2,0,-1.359411427501844,-0.8002033192199055,1,1
Fitness function Shubert,2,0,-1.3594114363037377,-0.8002032825700163,1,1
Fitness function Shubert,2,0,-1.3594113276598705,-0.8002032813573396,1,1
Fitness function Shubert,2,0,-1.3594114097216545,-0.8002033223839536,1,1
Fitness function Shubert,2,0,-1.3594110946986946,-0.8002033632306464,1,1
Fitness function Shubert,2,0,-1.3594114171750673,-0.8002033094542387,1,1
Fitness function Shubert,2,0,-1.359411347610165,-0.8002033184799482,1,1
Fitness function Shubert,2,0,-1.3594114311811023,-0.800203337374526,1,1
Fitness function Shubert,2,0,-1.3594114195390758,-0.8002032640166291,1,1
Fitness function Shubert,2,0,-1.3594114221752507,-0.8002035380548632,1,1
Fitness function Shubert,2,0,-1.359411432258541,-0.8002033045305356,1,1
Fitness function Shubert,2,0,-1.3594114164323166,-0.8002034087601173,1,1
Fitness function Shubert,2,0,-1.3594114166828604,-0.8002032341172052,1,1
Fitness function Shubert,2,0,-1.359411419790554,-0.8002033159638983,1,1
Fitness function Shubert,2,0,-1.3594114778137145,-0.8002033204216579,1,1
Fitness function Shubert,2,0,-1.359411435098654,-0.8002033202635089,1,1
Fitness function Shubert,2,0,-1.3594114552534862,-0.800203333694542,1,1
Fitness function Shubert,2,0,-1.3594112825433453,-0.8002033163597146,1,1
Fitness function Shubert,2,0,-1.359411419481832,-0.8002033206603845,1,1
Fitness function Shubert,2,0,-1.3594113904732574,-0.8002033699757575,1,1
Fitness function Shubert,2,0,-1.3594113412982451,-0.8002033066986308,1,1
Fitness function Shubert,2,0,-1.3594114224668576,-0.8002032767270593,1,1
Fitness function Shubert,2,0,-1.3594113929312042,-0.8002033387729756,1,1
Fitness function Shubert,2,0,-1.359411421525677,-0.8002030641950408,1,1
Fitness function Shubert,2,0,-1.3594114143611564,-0.8002028478082145,1,1
Fitness function Shubert,2,0,-1.3594112370173836,-0.8002033585569065,1,1
Fitness function Shubert,3,0,-0.6216785388619726,-0.586301152126459,1,1
Fitness function Shubert,3,0,-0.6216785425453671,-0.5863027636143798,1,1
Fitness function Shubert,3,0,-0.6216785963922511,-0.5863027263375723,1,1
Fitness function Shubert,3,0,-0.6216785493627431,-0.5863028061894453,1,1
Fitness function Shubert,3,0,-0.6216785424401072,-0.5863028119134166,1,1
Fitness function Shubert,3,0,-0.6216785396893245,-0.5863027624241338,1,1
Fitness function Shubert,3,0,-0.6216785470431206,-0.5863027724024891,1,1
Fitness function Shubert,3,0,-0.6216785370913777,-0.5863027852850744,1,1
Fitness function Shubert,3,0,-0.6216785384051117,-0.5863027544011505,1,1
Fitness function Shubert,3,0,-0.621678542794893,-0.5863027992970773,1,1
Fitness function Shubert,3,0,-0.6216785175891207,-0.5863027116326294,1,1
Fitness function Shubert,3,0,-0.6216785255090922,-0.5863027710289682,1,1
Fitness function Shubert,3,0,-0.6216786329644804,-0.5863027436920885,1,1
Fitness function Shubert,3,0,-0.6216785046341577,-0.5863028794891192,1,1
